"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.698613382,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.200710023,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.376177174,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.352664285,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.754543126,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.962031772,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.920214396,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.569769097,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.937773743,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.704788871,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.470258836,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.10650075,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.053633634,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.45267069,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.910336711,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.677400257,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.422993083,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.898238827,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.28094894,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.268965793,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.203449901,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.830112597,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.777440869,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.85790364,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895400079,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.60805809,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.60346712,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.869422188,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.21990988,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463669071,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.26190882,
