year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	810	810	0	1048	1037	11	9E	3538	N915XJ	JFK	MSP	189	1029	8	10	2013-01-01T13:00:00Z
2013	1	1	1451	1500	-9	1634	1636	-2	9E	4105	N8444F	JFK	IAD	57	228	15	0	2013-01-01T20:00:00Z
2013	1	1	1452	1455	-3	1637	1639	-2	9E	3295	N920XJ	JFK	BUF	68	301	14	55	2013-01-01T19:00:00Z
2013	1	1	1454	1500	-6	1635	1636	-1	9E	3843	N8409N	JFK	SYR	57	209	15	0	2013-01-01T20:00:00Z
2013	1	1	1507	1515	-8	1651	1656	-5	9E	3792	N8631E	JFK	ROC	66	264	15	15	2013-01-01T20:00:00Z
2013	1	1	1530	1530	0	1650	1655	-5	9E	3369	N913XJ	JFK	BWI	40	184	15	30	2013-01-01T20:00:00Z
2013	1	1	1546	1540	6	1753	1748	5	9E	3338	N904XJ	JFK	ORD	146	740	15	40	2013-01-01T20:00:00Z
2013	1	1	1550	1550	0	1844	1831	13	9E	3372	N934XJ	JFK	IND	139	665	15	50	2013-01-01T20:00:00Z
2013	1	1	1552	1600	-8	1749	1757	-8	9E	3459	N910XJ	JFK	BNA	150	765	16	0	2013-01-01T21:00:00Z
2013	1	1	1554	1600	-6	1701	1734	-33	9E	3331	N931XJ	JFK	BOS	41	187	16	0	2013-01-01T21:00:00Z
2013	1	1	1600	1610	-10	1712	1729	-17	9E	4088	N8968E	JFK	PHL	35	94	16	10	2013-01-01T21:00:00Z
2013	1	1	1637	1545	52	1858	1819	39	9E	3321	N604LR	JFK	MSP	173	1029	15	45	2013-01-01T20:00:00Z
2013	1	1	1743	1615	88	1925	1819	66	9E	3651	N8515F	JFK	RDU	72	427	16	15	2013-01-01T21:00:00Z
2013	1	1	1825	1829	-4	2056	2053	3	9E	3286	N906XJ	JFK	DTW	107	509	18	29	2013-01-01T23:00:00Z
2013	1	1	1832	1835	-3	2059	2103	-4	9E	3830	N8894A	JFK	CHS	106	636	18	35	2013-01-01T23:00:00Z
2013	1	1	1850	1850	0	2142	2141	1	9E	3364	N908XJ	JFK	MSY	207	1182	18	50	2013-01-01T23:00:00Z
2013	1	1	1910	1910	0	2126	2107	19	9E	3359	N925XJ	JFK	ORD	141	740	19	10	2013-01-02T00:00:00Z
2013	1	1	1928	1930	-2	2117	2135	-18	9E	4261	N8611A	JFK	RDU	75	427	19	30	2013-01-02T00:00:00Z
2013	1	1	1939	1840	59	29	2151	NA	9E	3325	N905XJ	JFK	DFW	NA	1391	18	40	2013-01-01T23:00:00Z
2013	1	1	1945	1940	5	2247	2231	16	9E	3361	N913XJ	JFK	JAX	129	828	19	40	2013-01-02T00:00:00Z
2013	1	1	1955	2000	-5	2145	2151	-6	9E	3409	N920XJ	JFK	PIT	76	340	20	0	2013-01-02T01:00:00Z
2013	1	1	1957	2005	-8	2100	2126	-26	9E	4091	N8598B	JFK	BWI	41	184	20	5	2013-01-02T01:00:00Z
2013	1	1	2000	2000	0	2054	2110	-16	9E	3664	N836AY	JFK	PHL	30	94	20	0	2013-01-02T01:00:00Z
2013	1	1	2015	2005	10	2149	2144	5	9E	3320	N931XJ	JFK	BUF	62	301	20	5	2013-01-02T01:00:00Z
2013	1	1	2017	1935	42	2223	2136	47	9E	3899	N8444F	JFK	CLE	91	425	19	35	2013-01-02T00:00:00Z
2013	1	1	2023	1945	38	2240	2206	34	9E	3352	N602LR	JFK	CVG	118	589	19	45	2013-01-02T00:00:00Z
2013	1	1	2046	2035	11	2144	2213	-29	9E	3357	N916XJ	JFK	DCA	43	213	20	35	2013-01-02T01:00:00Z
2013	1	1	2115	1700	255	2330	1920	250	9E	3347	N924XJ	JFK	CVG	115	589	17	0	2013-01-01T22:00:00Z
2013	1	2	600	600	0	819	815	4	9E	4171	N8946A	EWR	CVG	120	569	6	0	2013-01-02T11:00:00Z
2013	1	2	743	745	-2	858	857	1	9E	3373	N902XJ	JFK	PHL	30	94	7	45	2013-01-02T12:00:00Z
2013	1	2	751	800	-9	942	945	-3	9E	3643	N8869B	JFK	PIT	68	340	8	0	2013-01-02T13:00:00Z
2013	1	2	817	820	-3	1015	1007	8	9E	3521	N931XJ	JFK	ORD	143	740	8	20	2013-01-02T13:00:00Z
2013	1	2	828	835	-7	952	1007	-15	9E	3383	N901XJ	JFK	DCA	42	213	8	35	2013-01-02T13:00:00Z
2013	1	2	836	840	-4	1114	1036	38	9E	4220	N841AY	JFK	RDU	87	427	8	40	2013-01-02T13:00:00Z
2013	1	2	841	845	-4	1134	1024	70	9E	3754	N829AY	JFK	BUF	59	301	8	45	2013-01-02T13:00:00Z
2013	1	2	843	845	-2	1103	1058	5	9E	3323	N918XJ	JFK	DTW	93	509	8	45	2013-01-02T13:00:00Z
2013	1	2	845	810	35	1052	1037	15	9E	3538	N930XJ	JFK	MSP	153	1029	8	10	2013-01-02T13:00:00Z
2013	1	2	953	955	-2	1117	1122	-5	9E	4108	N812AY	JFK	ROC	59	264	9	55	2013-01-02T14:00:00Z
2013	1	2	1003	820	103	1105	940	85	9E	3694	N8968E	JFK	BWI	39	184	8	20	2013-01-02T13:00:00Z
2013	1	2	1125	925	120	1445	1146	NA	9E	3658	N8783E	LGA	GRR	NA	618	9	25	2013-01-02T14:00:00Z
2013	1	2	1253	1300	-7	1505	1508	-3	9E	3903	N8432A	EWR	CVG	111	569	13	0	2013-01-02T18:00:00Z
2013	1	2	1448	1455	-7	1724	1639	45	9E	3295	N916XJ	JFK	BUF	59	301	14	55	2013-01-02T19:00:00Z
2013	1	2	1451	1455	-4	1707	1717	-10	9E	3793	N812AY	JFK	CLT	93	541	14	55	2013-01-02T19:00:00Z
2013	1	2	1458	1500	-2	1643	1642	1	9E	3653	N8501F	JFK	ORF	57	290	15	0	2013-01-02T20:00:00Z
2013	1	2	1513	1500	13	1642	1636	6	9E	4105	N8908D	JFK	IAD	56	228	15	0	2013-01-02T20:00:00Z
2013	1	2	1524	1530	-6	1658	1655	3	9E	3369	N915XJ	JFK	BWI	41	184	15	30	2013-01-02T20:00:00Z
2013	1	2	1525	1525	0	1723	1710	13	9E	3799	N8416B	LGA	RIC	58	292	15	25	2013-01-02T20:00:00Z
2013	1	2	1527	1500	27	1650	1636	14	9E	3843	N829AY	JFK	SYR	49	209	15	0	2013-01-02T20:00:00Z
2013	1	2	1534	1515	19	1713	1656	17	9E	3792	N8390A	JFK	ROC	54	264	15	15	2013-01-02T20:00:00Z
2013	1	2	1542	1540	2	1805	1748	17	9E	3338	N933XJ	JFK	ORD	150	740	15	40	2013-01-02T20:00:00Z
2013	1	2	1543	1545	-2	1819	1819	0	9E	3321	N601LR	JFK	MSP	167	1029	15	45	2013-01-02T20:00:00Z
2013	1	2	1600	1600	0	1809	1757	12	9E	3459	N905XJ	JFK	BNA	139	765	16	0	2013-01-02T21:00:00Z
2013	1	2	1601	1600	1	1803	1734	29	9E	3331	N922XJ	JFK	BOS	46	187	16	0	2013-01-02T21:00:00Z
2013	1	2	1606	1610	-4	1730	1729	1	9E	4088	N8646A	JFK	PHL	29	94	16	10	2013-01-02T21:00:00Z
2013	1	2	1612	1615	-3	1835	1819	16	9E	3392	N934XJ	JFK	RDU	83	427	16	15	2013-01-02T21:00:00Z
2013	1	2	1615	1550	25	1846	1831	15	9E	3372	N901XJ	JFK	IND	116	665	15	50	2013-01-02T20:00:00Z
2013	1	2	1619	1605	14	1836	1841	-5	9E	3384	N600LR	JFK	MEM	166	964	16	5	2013-01-02T21:00:00Z
2013	1	2	1658	1700	-2	1920	1920	0	9E	3347	N907XJ	JFK	CVG	111	589	17	0	2013-01-02T22:00:00Z
2013	1	2	1801	1655	66	1932	1843	49	9E	3925	N839AY	JFK	PIT	64	340	16	55	2013-01-02T21:00:00Z
2013	1	2	1825	1835	-10	2033	2103	-30	9E	3830	N820AY	JFK	CHS	104	636	18	35	2013-01-02T23:00:00Z
2013	1	2	1845	1645	120	2137	1859	158	9E	3983	N8412F	EWR	CVG	131	569	16	45	2013-01-02T21:00:00Z
2013	1	2	1848	1840	8	2333	2151	NA	9E	3325	N920XJ	JFK	DFW	NA	1391	18	40	2013-01-02T23:00:00Z
2013	1	2	1917	1910	7	2139	2107	32	9E	3359	N602LR	JFK	ORD	143	740	19	10	2013-01-03T00:00:00Z
2013	1	2	1927	1930	-3	2359	2306	NA	9E	3401	N908XJ	JFK	SAT	NA	1587	19	30	2013-01-03T00:00:00Z
2013	1	2	1940	1935	5	2156	2136	20	9E	3899	N8908D	JFK	CLE	91	425	19	35	2013-01-03T00:00:00Z
2013	1	2	1944	1945	-1	2225	2206	19	9E	3352	N924XJ	JFK	CVG	116	589	19	45	2013-01-03T00:00:00Z
2013	1	2	1946	1940	6	2215	2231	-16	9E	3361	N906XJ	JFK	JAX	128	828	19	40	2013-01-03T00:00:00Z
2013	1	2	1946	1930	16	2143	2141	2	9E	3798	N8409N	JFK	CLT	93	541	19	30	2013-01-03T00:00:00Z
2013	1	2	1954	2000	-6	2241	2216	25	9E	4033	N8516C	LGA	TYS	121	647	20	0	2013-01-03T01:00:00Z
2013	1	2	1955	1930	25	2151	2135	16	9E	3420	N915XJ	JFK	RDU	82	427	19	30	2013-01-03T00:00:00Z
2013	1	2	2003	2015	-12	2102	2125	-23	9E	3664	N8646A	JFK	PHL	30	94	20	15	2013-01-03T01:00:00Z
2013	1	2	2027	2000	27	2206	2151	15	9E	3409	N605LR	JFK	PIT	70	340	20	0	2013-01-03T01:00:00Z
2013	1	2	2032	1855	97	2314	2146	88	9E	3364	N919XJ	JFK	MSY	202	1182	18	55	2013-01-02T23:00:00Z
2013	1	2	2036	2035	1	2137	2213	-36	9E	3357	N922XJ	JFK	DCA	42	213	20	35	2013-01-03T01:00:00Z
2013	1	2	2116	2005	71	2242	2144	58	9E	3320	N916XJ	JFK	BUF	63	301	20	5	2013-01-03T01:00:00Z
2013	1	2	2150	2005	105	2255	2126	89	9E	4091	N8976E	JFK	BWI	39	184	20	5	2013-01-03T01:00:00Z
2013	1	3	745	750	-5	946	940	6	9E	3611	N8794B	JFK	PIT	95	340	7	50	2013-01-03T12:00:00Z
2013	1	3	749	755	-6	959	1012	-13	9E	4023	N8416B	EWR	CVG	113	569	7	55	2013-01-03T12:00:00Z
2013	1	3	759	805	-6	1019	1029	-10	9E	3538	N933XJ	JFK	MSP	164	1029	8	5	2013-01-03T13:00:00Z
