year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	542	540	2	923	850	33	AA	1141	N619AA	JFK	MIA	160	1089	5	40	2013-01-01T10:00:00Z
2013	1	1	558	600	-2	753	745	8	AA	301	N3ALAA	LGA	ORD	138	733	6	0	2013-01-01T11:00:00Z
2013	1	1	559	600	-1	941	910	31	AA	707	N3DUAA	LGA	DFW	257	1389	6	0	2013-01-01T11:00:00Z
2013	1	1	606	610	-4	858	910	-12	AA	1895	N633AA	EWR	MIA	152	1085	6	10	2013-01-01T11:00:00Z
2013	1	1	623	610	13	920	915	5	AA	1837	N3EMAA	LGA	MIA	153	1096	6	10	2013-01-01T11:00:00Z
2013	1	1	628	630	-2	1137	1140	-3	AA	413	N3BAAA	JFK	SJU	192	1598	6	30	2013-01-01T11:00:00Z
2013	1	1	629	630	-1	824	810	14	AA	303	N3CYAA	LGA	ORD	140	733	6	30	2013-01-01T11:00:00Z
2013	1	1	635	635	0	1028	940	48	AA	711	N3GKAA	LGA	DFW	248	1389	6	35	2013-01-01T11:00:00Z
2013	1	1	656	700	-4	854	850	4	AA	305	N4WNAA	LGA	ORD	143	733	7	0	2013-01-01T12:00:00Z
2013	1	1	656	659	-3	949	959	-10	AA	1815	N5FMAA	JFK	MCO	142	944	6	59	2013-01-01T11:00:00Z
2013	1	1	659	700	-1	1008	1015	-7	AA	2279	N3EKAA	LGA	MIA	159	1096	7	0	2013-01-01T12:00:00Z
2013	1	1	712	715	-3	1023	1035	-12	AA	825	N3ETAA	JFK	FLL	159	1069	7	15	2013-01-01T12:00:00Z
2013	1	1	724	730	-6	1111	1040	31	AA	715	N541AA	LGA	DFW	254	1389	7	30	2013-01-01T12:00:00Z
2013	1	1	725	730	-5	1052	1040	12	AA	2083	N4WRAA	EWR	DFW	238	1372	7	30	2013-01-01T12:00:00Z
2013	1	1	739	745	-6	918	930	-12	AA	309	N4WPAA	LGA	ORD	137	733	7	45	2013-01-01T12:00:00Z
2013	1	1	743	730	13	1107	1100	7	AA	33	N338AA	JFK	LAX	358	2475	7	30	2013-01-01T12:00:00Z
2013	1	1	745	745	0	1135	1125	10	AA	59	N336AA	JFK	SFO	378	2586	7	45	2013-01-01T12:00:00Z
2013	1	1	753	755	-2	1056	1110	-14	AA	2267	N3HMAA	LGA	MIA	157	1096	7	55	2013-01-01T12:00:00Z
2013	1	1	803	810	-7	903	925	-22	AA	1838	N3GEAA	JFK	BOS	38	187	8	10	2013-01-01T13:00:00Z
2013	1	1	824	830	-6	1027	1025	2	AA	1855	N573AA	LGA	STL	169	888	8	30	2013-01-01T13:00:00Z
2013	1	1	826	715	71	1136	1045	51	AA	443	N3GVAA	JFK	MIA	160	1089	7	15	2013-01-01T12:00:00Z
2013	1	1	830	830	0	1018	1015	3	AA	313	N4YCAA	LGA	ORD	137	733	8	30	2013-01-01T13:00:00Z
2013	1	1	835	835	0	1210	1150	20	AA	717	N3BDAA	LGA	DFW	249	1389	8	35	2013-01-01T13:00:00Z
2013	1	1	840	845	-5	1311	1350	-39	AA	1357	N5FSAA	JFK	SJU	188	1598	8	45	2013-01-01T13:00:00Z
2013	1	1	856	900	-4	1226	1220	6	AA	1	N324AA	JFK	LAX	358	2475	9	0	2013-01-01T14:00:00Z
2013	1	1	909	810	59	1331	1315	16	AA	655	N5EXAA	JFK	STT	184	1623	8	10	2013-01-01T13:00:00Z
2013	1	1	912	900	12	1241	1220	21	AA	647	N5CRAA	JFK	MIA	166	1089	9	0	2013-01-01T14:00:00Z
2013	1	1	914	920	-6	1244	1240	4	AA	1589	N517AA	EWR	DFW	238	1372	9	20	2013-01-01T14:00:00Z
2013	1	1	917	920	-3	1313	1245	28	AA	721	N596AA	LGA	DFW	258	1389	9	20	2013-01-01T14:00:00Z
2013	1	1	940	945	-5	1119	1130	-11	AA	319	N4WJAA	LGA	ORD	133	733	9	45	2013-01-01T14:00:00Z
2013	1	1	1025	1020	5	1356	1330	26	AA	731	N3FXAA	LGA	DFW	247	1389	10	20	2013-01-01T15:00:00Z
2013	1	1	1026	1030	-4	1351	1340	11	AA	19	N328AA	JFK	LAX	356	2475	10	30	2013-01-01T15:00:00Z
2013	1	1	1029	1030	-1	1427	1355	32	AA	179	N325AA	JFK	SFO	389	2586	10	30	2013-01-01T15:00:00Z
2013	1	1	1037	1030	7	1221	1210	11	AA	321	N581AA	LGA	ORD	133	733	10	30	2013-01-01T15:00:00Z
2013	1	1	1047	1055	-8	1359	1405	-6	AA	739	N3AVAA	LGA	DFW	230	1389	10	55	2013-01-01T15:00:00Z
2013	1	1	1109	1115	-6	1402	1425	-23	AA	2099	N3GSAA	LGA	MIA	157	1096	11	15	2013-01-01T16:00:00Z
2013	1	1	1130	1125	5	1301	1305	-4	AA	327	N3DEAA	LGA	ORD	127	733	11	25	2013-01-01T16:00:00Z
2013	1	1	1135	1140	-5	1429	1445	-16	AA	1623	N3EYAA	EWR	MIA	156	1085	11	40	2013-01-01T16:00:00Z
2013	1	1	1155	1200	-5	1517	1510	7	AA	3	N322AA	JFK	LAX	353	2475	12	0	2013-01-01T17:00:00Z
2013	1	1	1158	1205	-7	1530	1520	10	AA	743	N426AA	LGA	DFW	248	1389	12	5	2013-01-01T17:00:00Z
2013	1	1	1219	1220	-1	1415	1415	0	AA	1757	N545AA	LGA	STL	161	888	12	20	2013-01-01T17:00:00Z
2013	1	1	1237	1245	-8	1340	1350	-10	AA	1850	N3EGAA	JFK	BOS	40	187	12	45	2013-01-01T17:00:00Z
2013	1	1	1240	1245	-5	1554	1600	-6	AA	2253	N3BUAA	LGA	MIA	156	1096	12	45	2013-01-01T17:00:00Z
2013	1	1	1252	1245	7	1624	1550	34	AA	745	N3FTAA	LGA	DFW	243	1389	12	45	2013-01-01T17:00:00Z
2013	1	1	1258	1300	-2	1459	1440	19	AA	329	N511AA	LGA	ORD	147	733	13	0	2013-01-01T18:00:00Z
2013	1	1	1301	1240	21	1633	1540	53	AA	1853	N544AA	EWR	DFW	252	1372	12	40	2013-01-01T17:00:00Z
2013	1	1	1306	1240	26	1622	1555	27	AA	2041	N5DMAA	JFK	MIA	163	1089	12	40	2013-01-01T17:00:00Z
2013	1	1	1339	1345	-6	1642	1705	-23	AA	1073	N3EMAA	LGA	MIA	161	1096	13	45	2013-01-01T18:00:00Z
2013	1	1	1341	1345	-4	1709	1705	4	AA	117	N339AA	JFK	LAX	362	2475	13	45	2013-01-01T18:00:00Z
2013	1	1	1343	1330	13	1658	1640	18	AA	753	N3CFAA	LGA	DFW	235	1389	13	30	2013-01-01T18:00:00Z
2013	1	1	1442	1450	-8	1728	1755	-27	AA	1813	N5FMAA	JFK	MCO	141	944	14	50	2013-01-01T19:00:00Z
2013	1	1	1445	1455	-10	1635	1645	-10	AA	337	N4UCAA	LGA	ORD	147	733	14	55	2013-01-01T19:00:00Z
2013	1	1	1446	1455	-9	1803	1825	-22	AA	1769	N5EWAA	JFK	MIA	161	1089	14	55	2013-01-01T19:00:00Z
2013	1	1	1506	1505	1	1838	1820	18	AA	759	N3DUAA	LGA	DFW	248	1389	15	5	2013-01-01T20:00:00Z
2013	1	1	1520	1430	50	1835	1735	60	AA	883	N589AA	EWR	DFW	236	1372	14	30	2013-01-01T19:00:00Z
2013	1	1	1527	1530	-3	1841	1855	-14	AA	1039	N3HYAA	JFK	FLL	163	1069	15	30	2013-01-01T20:00:00Z
2013	1	1	1528	1530	-2	1731	1725	6	AA	2223	N573AA	LGA	STL	160	888	15	30	2013-01-01T20:00:00Z
2013	1	1	1539	1530	9	1904	1910	-6	AA	85	N342AA	JFK	SFO	360	2586	15	30	2013-01-01T20:00:00Z
2013	1	1	1539	1545	-6	1853	1910	-17	AA	133	N319AA	JFK	LAX	351	2475	15	45	2013-01-01T20:00:00Z
2013	1	1	1552	1600	-8	1933	1915	18	AA	565	N3CGAA	JFK	DFW	254	1391	16	0	2013-01-01T21:00:00Z
2013	1	1	1605	1610	-5	1804	1800	4	AA	341	N569AA	LGA	ORD	146	733	16	10	2013-01-01T21:00:00Z
2013	1	1	1608	1535	33	2002	1850	72	AA	763	N3GKAA	LGA	DFW	249	1389	15	35	2013-01-01T20:00:00Z
2013	1	1	1608	1600	8	1953	1925	28	AA	1467	N3DYAA	LGA	MIA	171	1096	16	0	2013-01-01T21:00:00Z
2013	1	1	1625	1550	35	2054	2050	4	AA	1635	N630AA	JFK	SJU	188	1598	15	50	2013-01-01T20:00:00Z
2013	1	1	1641	1650	-9	1746	1820	-34	AA	1790	N3BYAA	JFK	BOS	41	187	16	50	2013-01-01T21:00:00Z
2013	1	1	1652	1640	12	2030	1955	35	AA	773	N565AA	LGA	DFW	252	1389	16	40	2013-01-01T21:00:00Z
2013	1	1	1655	1700	-5	1953	1950	3	AA	575	N5DRAA	JFK	EGE	280	1747	17	0	2013-01-01T22:00:00Z
2013	1	1	1656	1700	-4	1941	1955	-14	AA	257	N3CAAA	JFK	LAS	322	2248	17	0	2013-01-01T22:00:00Z
2013	1	1	1701	1710	-9	2026	2015	11	AA	695	N3FUAA	JFK	AUS	247	1521	17	10	2013-01-01T22:00:00Z
2013	1	1	1705	1705	0	2054	2010	44	AA	1905	N4WRAA	EWR	DFW	251	1372	17	5	2013-01-01T22:00:00Z
2013	1	1	1714	1720	-6	1915	1915	0	AA	1351	N3CVAA	JFK	ORD	146	740	17	20	2013-01-01T22:00:00Z
2013	1	1	1717	1720	-3	1920	1910	10	AA	345	N539AA	LGA	ORD	141	733	17	20	2013-01-01T22:00:00Z
2013	1	1	1726	1730	-4	2054	2050	4	AA	543	N386AA	JFK	MIA	157	1089	17	30	2013-01-01T22:00:00Z
2013	1	1	1727	1725	2	2043	2040	3	AA	145	N377AA	JFK	SAN	357	2446	17	25	2013-01-01T22:00:00Z
2013	1	1	1817	1820	-3	2008	2005	3	AA	353	N3AXAA	LGA	ORD	138	733	18	20	2013-01-01T23:00:00Z
2013	1	1	1820	1820	0	2216	2150	26	AA	119	N3FMAA	EWR	LAX	366	2454	18	20	2013-01-01T23:00:00Z
2013	1	1	1824	1830	-6	2203	2205	-2	AA	269	N3ETAA	JFK	SEA	348	2422	18	30	2013-01-01T23:00:00Z
2013	1	1	1826	1810	16	2132	2130	2	AA	1611	N3DWAA	LGA	MIA	153	1096	18	10	2013-01-01T23:00:00Z
2013	1	1	1843	1850	-7	2052	2050	2	AA	2019	N594AA	LGA	STL	169	888	18	50	2013-01-01T23:00:00Z
2013	1	1	1846	1745	61	2147	2055	52	AA	785	N3ESAA	LGA	DFW	223	1389	17	45	2013-01-01T22:00:00Z
2013	1	1	1846	1855	-9	2336	2355	-19	AA	1613	N5BYAA	JFK	SJU	190	1598	18	55	2013-01-01T23:00:00Z
2013	1	1	1848	1745	63	2238	2120	78	AA	177	N332AA	JFK	SFO	361	2586	17	45	2013-01-01T22:00:00Z
2013	1	1	1856	1645	131	2212	2005	127	AA	181	N323AA	JFK	LAX	336	2475	16	45	2013-01-01T21:00:00Z
2013	1	1	1916	1920	-4	2053	2100	-7	AA	359	N3CUAA	LGA	ORD	136	733	19	20	2013-01-02T00:00:00Z
2013	1	1	1926	1910	16	2258	2215	43	AA	2075	N4XFAA	EWR	DFW	248	1372	19	10	2013-01-02T00:00:00Z
2013	1	1	1937	1905	32	2250	2225	25	AA	21	N327AA	JFK	LAX	332	2475	19	5	2013-01-02T00:00:00Z
2013	1	1	1939	1940	-1	2238	2240	-2	AA	1787	N3EGAA	JFK	TPA	158	1005	19	40	2013-01-02T00:00:00Z
2013	1	1	2002	1955	7	2306	2310	-4	AA	1709	N3GSAA	LGA	MIA	159	1096	19	55	2013-01-02T00:00:00Z
2013	1	1	2013	2015	-2	2120	2130	-10	AA	1762	N3BNAA	JFK	BOS	35	187	20	15	2013-01-02T01:00:00Z
2013	1	1	2030	2045	-15	2150	2225	-35	AA	371	N545AA	LGA	ORD	126	733	20	45	2013-01-02T01:00:00Z
2013	1	1	2128	2135	-7	26	50	-24	AA	185	N338AA	JFK	LAX	338	2475	21	35	2013-01-02T02:00:00Z
2013	1	1	2205	1720	285	46	2040	246	AA	1999	N5DNAA	EWR	MIA	146	1085	17	20	2013-01-01T22:00:00Z
2013	1	1	NA	1935	NA	NA	2240	NA	AA	791	N3EHAA	LGA	DFW	NA	1389	19	35	2013-01-02T00:00:00Z
2013	1	1	NA	1500	NA	NA	1825	NA	AA	1925	N3EVAA	LGA	MIA	NA	1096	15	0	2013-01-01T20:00:00Z
2013	1	2	535	540	-5	831	850	-19	AA	1141	N621AA	JFK	MIA	156	1089	5	40	2013-01-02T10:00:00Z
2013	1	2	555	600	-5	931	910	21	AA	707	N3BEAA	LGA	DFW	255	1389	6	0	2013-01-02T11:00:00Z
2013	1	2	603	600	3	733	745	-12	AA	301	N3CRAA	LGA	ORD	118	733	6	0	2013-01-02T11:00:00Z
2013	1	2	607	610	-3	859	910	-11	AA	1895	N5ELAA	EWR	MIA	151	1085	6	10	2013-01-02T11:00:00Z
2013	1	2	621	610	11	912	915	-3	AA	1837	N3EVAA	LGA	MIA	155	1096	6	10	2013-01-02T11:00:00Z
2013	1	2	634	630	4	806	810	-4	AA	303	N3DYAA	LGA	ORD	123	733	6	30	2013-01-02T11:00:00Z
2013	1	2	641	635	6	1013	940	33	AA	711	N3CFAA	LGA	DFW	249	1389	6	35	2013-01-02T11:00:00Z
2013	1	2	655	659	-4	955	959	-4	AA	1815	N5EUAA	JFK	MCO	144	944	6	59	2013-01-02T11:00:00Z
2013	1	2	700	700	0	851	850	1	AA	305	N436AA	LGA	ORD	122	733	7	0	2013-01-02T12:00:00Z
2013	1	2	700	700	0	1017	1015	2	AA	2279	N3JJAA	LGA	MIA	163	1096	7	0	2013-01-02T12:00:00Z
2013	1	2	705	630	35	1209	1140	29	AA	413	N3GEAA	JFK	SJU	197	1598	6	30	2013-01-02T11:00:00Z
2013	1	2	707	715	-8	1022	1045	-23	AA	443	N3HYAA	JFK	MIA	160	1089	7	15	2013-01-02T12:00:00Z
2013	1	2	714	715	-1	1026	1035	-9	AA	825	N3BAAA	JFK	FLL	161	1069	7	15	2013-01-02T12:00:00Z
2013	1	2	732	730	2	1105	1100	5	AA	33	N322AA	JFK	LAX	351	2475	7	30	2013-01-02T12:00:00Z
2013	1	2	738	745	-7	926	930	-4	AA	309	N528AA	LGA	ORD	121	733	7	45	2013-01-02T12:00:00Z
2013	1	2	739	745	-6	1116	1125	-9	AA	59	N325AA	JFK	SFO	353	2586	7	45	2013-01-02T12:00:00Z
2013	1	2	745	730	15	1112	1040	32	AA	715	N455AA	LGA	DFW	244	1389	7	30	2013-01-02T12:00:00Z
2013	1	2	758	755	3	1052	1110	-18	AA	2267	N3CNAA	LGA	MIA	160	1096	7	55	2013-01-02T12:00:00Z
2013	1	2	801	730	31	1136	1040	56	AA	2083	N487AA	EWR	DFW	241	1372	7	30	2013-01-02T12:00:00Z
2013	1	2	806	810	-4	1300	1315	-15	AA	655	N5FTAA	JFK	STT	193	1623	8	10	2013-01-02T13:00:00Z
2013	1	2	817	810	7	931	925	6	AA	1838	N3BYAA	JFK	BOS	37	187	8	10	2013-01-02T13:00:00Z
2013	1	2	825	830	-5	952	1015	-23	AA	313	N593AA	LGA	ORD	118	733	8	30	2013-01-02T13:00:00Z
2013	1	2	826	830	-4	1012	1025	-13	AA	1855	N569AA	LGA	STL	146	888	8	30	2013-01-02T13:00:00Z
2013	1	2	829	835	-6	1151	1150	1	AA	717	N3JPAA	LGA	DFW	229	1389	8	35	2013-01-02T13:00:00Z
2013	1	2	837	845	-8	1403	1350	13	AA	1357	N5FMAA	JFK	SJU	200	1598	8	45	2013-01-02T13:00:00Z
2013	1	2	855	900	-5	1225	1220	5	AA	1	N336AA	JFK	LAX	336	2475	9	0	2013-01-02T14:00:00Z
2013	1	2	858	900	-2	1230	1220	10	AA	647	N5ENAA	JFK	MIA	163	1089	9	0	2013-01-02T14:00:00Z
2013	1	2	919	920	-1	1240	1245	-5	AA	721	N573AA	LGA	DFW	237	1389	9	20	2013-01-02T14:00:00Z
