year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	724	725	-1	1020	1030	-10	AS	11	N594AS	EWR	SEA	338	2402	7	25	2013-01-01T12:00:00Z
2013	1	1	1808	1815	-7	2111	2130	-19	AS	7	N553AS	EWR	SEA	336	2402	18	15	2013-01-01T23:00:00Z
2013	1	2	722	725	-3	949	1030	-41	AS	11	N592AS	EWR	SEA	314	2402	7	25	2013-01-02T12:00:00Z
2013	1	2	1818	1815	3	2131	2130	1	AS	7	N552AS	EWR	SEA	332	2402	18	15	2013-01-02T23:00:00Z
2013	1	3	724	725	-1	1012	1030	-18	AS	11	N533AS	EWR	SEA	325	2402	7	25	2013-01-03T12:00:00Z
2013	1	3	1817	1815	2	2121	2130	-9	AS	7	N552AS	EWR	SEA	327	2402	18	15	2013-01-03T23:00:00Z
2013	1	4	725	725	0	1031	1030	1	AS	11	N579AS	EWR	SEA	345	2402	7	25	2013-01-04T12:00:00Z
2013	1	4	1808	1815	-7	2101	2130	-29	AS	7	N553AS	EWR	SEA	338	2402	18	15	2013-01-04T23:00:00Z
2013	1	5	725	725	0	1011	1030	-19	AS	11	N546AS	EWR	SEA	330	2402	7	25	2013-01-05T12:00:00Z
2013	1	5	1803	1815	-12	2118	2130	-12	AS	7	N558AS	EWR	SEA	343	2402	18	15	2013-01-05T23:00:00Z
2013	1	6	722	725	-3	1024	1030	-6	AS	11	N568AS	EWR	SEA	341	2402	7	25	2013-01-06T12:00:00Z
2013	1	6	1817	1815	2	2146	2130	16	AS	7	N551AS	EWR	SEA	350	2402	18	15	2013-01-06T23:00:00Z
2013	1	7	727	725	2	1100	1030	30	AS	11	N537AS	EWR	SEA	364	2402	7	25	2013-01-07T12:00:00Z
2013	1	7	1826	1815	11	2138	2130	8	AS	7	N408AS	EWR	SEA	336	2402	18	15	2013-01-07T23:00:00Z
2013	1	8	719	725	-6	1037	1030	7	AS	11	N553AS	EWR	SEA	347	2402	7	25	2013-01-08T12:00:00Z
2013	1	8	1844	1815	29	2159	2130	29	AS	7	N407AS	EWR	SEA	346	2402	18	15	2013-01-08T23:00:00Z
2013	1	9	740	725	15	1102	1030	32	AS	11	N563AS	EWR	SEA	358	2402	7	25	2013-01-09T12:00:00Z
2013	1	9	1825	1815	10	2210	2130	40	AS	7	N403AS	EWR	SEA	359	2402	18	15	2013-01-09T23:00:00Z
2013	1	10	719	725	-6	1011	1030	-19	AS	11	N513AS	EWR	SEA	334	2402	7	25	2013-01-10T12:00:00Z
2013	1	10	1811	1815	-4	2111	2130	-19	AS	7	N402AS	EWR	SEA	313	2402	18	15	2013-01-10T23:00:00Z
2013	1	11	719	725	-6	938	1030	-52	AS	11	N508AS	EWR	SEA	304	2402	7	25	2013-01-11T12:00:00Z
2013	1	11	1820	1815	5	2115	2130	-15	AS	7	N320AS	EWR	SEA	329	2402	18	15	2013-01-11T23:00:00Z
2013	1	12	749	725	24	1038	1030	8	AS	11	N533AS	EWR	SEA	321	2402	7	25	2013-01-12T12:00:00Z
2013	1	12	1802	1815	-13	2104	2130	-26	AS	7	N565AS	EWR	SEA	326	2402	18	15	2013-01-12T23:00:00Z
2013	1	13	718	725	-7	958	1035	-37	AS	11	N594AS	EWR	SEA	315	2402	7	25	2013-01-13T12:00:00Z
