year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	833	835	-2	1134	1102	32	F9	835	N203FR	LGA	DEN	257	1620	8	35	2013-01-01T13:00:00Z
2013	1	1	1716	1730	-14	1947	1953	-6	F9	511	N263AV	LGA	DEN	242	1620	17	30	2013-01-01T22:00:00Z
2013	1	2	827	835	-8	1120	1102	18	F9	835	N211FR	LGA	DEN	239	1620	8	35	2013-01-02T13:00:00Z
2013	1	2	1728	1730	-2	1952	1953	-1	F9	511	N201FR	LGA	DEN	238	1620	17	30	2013-01-02T22:00:00Z
2013	1	3	835	835	0	1102	1102	0	F9	835	N203FR	LGA	DEN	219	1620	8	35	2013-01-03T13:00:00Z
2013	1	3	1933	1730	123	2131	1953	98	F9	511	N261AV	LGA	DEN	208	1620	17	30	2013-01-03T22:00:00Z
2013	1	4	834	835	-1	1059	1102	-3	F9	835	N214FR	LGA	DEN	220	1620	8	35	2013-01-04T13:00:00Z
2013	1	4	1831	1730	61	2029	1953	36	F9	511	N209FR	LGA	DEN	213	1620	17	30	2013-01-04T22:00:00Z
2013	1	5	835	835	0	1057	1102	-5	F9	835	N201FR	LGA	DEN	237	1620	8	35	2013-01-05T13:00:00Z
2013	1	5	1726	1730	-4	1948	1953	-5	F9	511	N208FR	LGA	DEN	236	1620	17	30	2013-01-05T22:00:00Z
2013	1	6	830	835	-5	1055	1102	-7	F9	835	N201FR	LGA	DEN	236	1620	8	35	2013-01-06T13:00:00Z
2013	1	6	1722	1730	-8	1946	1953	-7	F9	511	N210FR	LGA	DEN	235	1620	17	30	2013-01-06T22:00:00Z
2013	1	7	830	830	0	1110	1106	4	F9	835	N208FR	LGA	DEN	234	1620	8	30	2013-01-07T13:00:00Z
2013	1	7	1723	1730	-7	2012	1957	15	F9	837	N206FR	LGA	DEN	239	1620	17	30	2013-01-07T22:00:00Z
2013	1	8	830	830	0	1116	1106	10	F9	835	N202FR	LGA	DEN	247	1620	8	30	2013-01-08T13:00:00Z
2013	1	8	1726	1730	-4	2006	1957	9	F9	837	N213FR	LGA	DEN	244	1620	17	30	2013-01-08T22:00:00Z
2013	1	9	917	830	47	1149	1106	43	F9	835	N206FR	LGA	DEN	244	1620	8	30	2013-01-09T13:00:00Z
2013	1	9	1723	1730	-7	2017	1957	20	F9	837	N953FR	LGA	DEN	263	1620	17	30	2013-01-09T22:00:00Z
2013	1	10	827	830	-3	1103	1106	-3	F9	835	N214FR	LGA	DEN	236	1620	8	30	2013-01-10T13:00:00Z
2013	1	10	1730	1730	0	2001	1957	4	F9	837	N216FR	LGA	DEN	232	1620	17	30	2013-01-10T22:00:00Z
2013	1	11	842	830	12	1138	1106	32	F9	835	N210FR	LGA	DEN	256	1620	8	30	2013-01-11T13:00:00Z
2013	1	11	1727	1730	-3	2038	1957	41	F9	837	N211FR	LGA	DEN	267	1620	17	30	2013-01-11T22:00:00Z
2013	1	12	828	830	-2	1112	1106	6	F9	835	N214FR	LGA	DEN	245	1620	8	30	2013-01-12T13:00:00Z
2013	1	13	826	830	-4	1049	1106	-17	F9	835	N213FR	LGA	DEN	238	1620	8	30	2013-01-13T13:00:00Z
2013	1	13	1739	1730	9	2018	1957	21	F9	837	N207FR	LGA	DEN	250	1620	17	30	2013-01-13T22:00:00Z
2013	1	14	832	830	2	1138	1106	32	F9	835	N209FR	LGA	DEN	260	1620	8	30	2013-01-14T13:00:00Z
2013	1	14	1734	1730	4	2025	1957	28	F9	837	N210FR	LGA	DEN	259	1620	17	30	2013-01-14T22:00:00Z
2013	1	15	827	830	-3	1123	1106	17	F9	835	N213FR	LGA	DEN	257	1620	8	30	2013-01-15T13:00:00Z
2013	1	15	1724	1730	-6	2023	1957	26	F9	837	N208FR	LGA	DEN	248	1620	17	30	2013-01-15T22:00:00Z
2013	1	16	832	830	2	1144	1106	38	F9	835	N201FR	LGA	DEN	249	1620	8	30	2013-01-16T13:00:00Z
2013	1	16	1721	1730	-9	2023	1957	26	F9	837	N952FR	LGA	DEN	263	1620	17	30	2013-01-16T22:00:00Z
2013	1	17	826	830	-4	1128	1106	22	F9	835	N211FR	LGA	DEN	250	1620	8	30	2013-01-17T13:00:00Z
2013	1	17	1728	1730	-2	2008	1957	11	F9	837	N216FR	LGA	DEN	244	1620	17	30	2013-01-17T22:00:00Z
2013	1	18	826	830	-4	1104	1106	-2	F9	835	N210FR	LGA	DEN	242	1620	8	30	2013-01-18T13:00:00Z
2013	1	18	1729	1730	-1	2023	1957	26	F9	837	N202FR	LGA	DEN	238	1620	17	30	2013-01-18T22:00:00Z
2013	1	19	828	830	-2	1100	1106	-6	F9	835	N205FR	LGA	DEN	241	1620	8	30	2013-01-19T13:00:00Z
2013	1	20	825	830	-5	1119	1106	13	F9	835	N207FR	LGA	DEN	265	1620	8	30	2013-01-20T13:00:00Z
2013	1	20	1833	1730	63	2118	1957	81	F9	837	N205FR	LGA	DEN	252	1620	17	30	2013-01-20T22:00:00Z
2013	1	21	826	830	-4	1101	1106	-5	F9	835	N263AV	LGA	DEN	248	1620	8	30	2013-01-21T13:00:00Z
2013	1	21	1724	1730	-6	1954	1957	-3	F9	837	N943FR	LGA	DEN	242	1620	17	30	2013-01-21T22:00:00Z
2013	1	22	828	830	-2	1111	1106	5	F9	835	N203FR	LGA	DEN	239	1620	8	30	2013-01-22T13:00:00Z
2013	1	22	1733	1730	3	2019	1957	22	F9	837	N208FR	LGA	DEN	246	1620	17	30	2013-01-22T22:00:00Z
2013	1	23	830	830	0	1126	1106	20	F9	835	N207FR	LGA	DEN	252	1620	8	30	2013-01-23T13:00:00Z
2013	1	23	1719	1730	-11	2017	1957	20	F9	837	N205FR	LGA	DEN	259	1620	17	30	2013-01-23T22:00:00Z
2013	1	24	829	830	-1	1121	1106	15	F9	835	N201FR	LGA	DEN	257	1620	8	30	2013-01-24T13:00:00Z
2013	1	24	1726	1730	-4	2042	1957	45	F9	837	N263AV	LGA	DEN	263	1620	17	30	2013-01-24T22:00:00Z
2013	1	25	829	830	-1	1108	1106	2	F9	835	N214FR	LGA	DEN	248	1620	8	30	2013-01-25T13:00:00Z
2013	1	25	1733	1730	3	2141	1957	104	F9	837	N207FR	LGA	DEN	238	1620	17	30	2013-01-25T22:00:00Z
2013	1	26	828	830	-2	1101	1106	-5	F9	835	N201FR	LGA	DEN	247	1620	8	30	2013-01-26T13:00:00Z
2013	1	27	826	830	-4	1058	1106	-8	F9	835	N207FR	LGA	DEN	244	1620	8	30	2013-01-27T13:00:00Z
2013	1	27	1725	1730	-5	2005	1957	8	F9	837	N205FR	LGA	DEN	240	1620	17	30	2013-01-27T22:00:00Z
2013	1	28	825	830	-5	1057	1106	-9	F9	835	N261AV	LGA	DEN	247	1620	8	30	2013-01-28T13:00:00Z
2013	1	28	1740	1730	10	2034	1957	37	F9	837	N205FR	LGA	DEN	265	1620	17	30	2013-01-28T22:00:00Z
2013	1	29	827	830	-3	1106	1106	0	F9	835	N207FR	LGA	DEN	248	1620	8	30	2013-01-29T13:00:00Z
2013	1	29	1703	1730	-27	1947	1957	-10	F9	837	N208FR	LGA	DEN	250	1620	17	30	2013-01-29T22:00:00Z
2013	1	30	829	830	-1	1058	1106	-8	F9	835	N209FR	LGA	DEN	228	1620	8	30	2013-01-30T13:00:00Z
2013	1	30	2138	1730	248	2352	1957	235	F9	837	N951FR	LGA	DEN	227	1620	17	30	2013-01-30T22:00:00Z
2013	1	31	828	830	-2	1055	1106	-11	F9	835	N210FR	LGA	DEN	229	1620	8	30	2013-01-31T13:00:00Z
2013	1	31	2041	1730	191	2304	1957	187	F9	797	N206FR	LGA	DEN	226	1620	17	30	2013-01-31T22:00:00Z
2013	10	1	1312	1325	-13	1514	1545	-31	F9	507	N208FR	LGA	DEN	220	1620	13	25	2013-10-01T17:00:00Z
2013	10	1	1753	1755	-2	1945	2013	-28	F9	511	N204FR	LGA	DEN	212	1620	17	55	2013-10-01T21:00:00Z
2013	10	2	1316	1325	-9	1518	1545	-27	F9	507	N203FR	LGA	DEN	216	1620	13	25	2013-10-02T17:00:00Z
2013	10	2	1722	1730	-8	2002	1950	12	F9	837	N214FR	LGA	DEN	214	1620	17	30	2013-10-02T21:00:00Z
2013	10	3	1327	1325	2	1534	1545	-11	F9	507	N206FR	LGA	DEN	221	1620	13	25	2013-10-03T17:00:00Z
2013	10	3	1741	1730	11	2014	1950	24	F9	837	N214FR	LGA	DEN	237	1620	17	30	2013-10-03T21:00:00Z
2013	10	4	1405	1325	40	1629	1545	44	F9	507	N216FR	LGA	DEN	233	1620	13	25	2013-10-04T17:00:00Z
2013	10	4	1821	1730	51	2046	1950	56	F9	837	N201FR	LGA	DEN	231	1620	17	30	2013-10-04T21:00:00Z
2013	10	5	1814	1755	19	2054	2013	41	F9	511	N213FR	LGA	DEN	241	1620	17	55	2013-10-05T21:00:00Z
2013	10	6	1330	1325	5	1536	1545	-9	F9	507	N214FR	LGA	DEN	218	1620	13	25	2013-10-06T17:00:00Z
2013	10	6	1724	1730	-6	1939	1950	-11	F9	837	N213FR	LGA	DEN	209	1620	17	30	2013-10-06T21:00:00Z
2013	10	7	1336	1325	11	1712	1549	83	F9	841	N218FR	LGA	DEN	229	1620	13	25	2013-10-07T17:00:00Z
2013	10	7	1801	1730	31	2015	1952	23	F9	837	N208FR	LGA	DEN	217	1620	17	30	2013-10-07T21:00:00Z
2013	10	8	1327	1325	2	1547	1549	-2	F9	507	N213FR	LGA	DEN	219	1620	13	25	2013-10-08T17:00:00Z
2013	10	8	1806	1730	36	2017	1952	25	F9	837	N214FR	LGA	DEN	206	1620	17	30	2013-10-08T21:00:00Z
