year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	717	720	-3	850	840	10	FL	850	N978AT	LGA	MKE	134	738	7	20	2013-01-01T12:00:00Z
2013	1	1	814	810	4	1047	1030	17	FL	346	N977AT	LGA	ATL	132	762	8	10	2013-01-01T13:00:00Z
2013	1	1	1021	1023	-2	1254	1252	2	FL	347	N942AT	LGA	ATL	129	762	10	23	2013-01-01T15:00:00Z
2013	1	1	1147	1155	-8	1335	1327	8	FL	353	N932AT	LGA	CAK	82	397	11	55	2013-01-01T16:00:00Z
2013	1	1	1258	1308	-10	1532	1537	-5	FL	348	N717JL	LGA	ATL	128	762	13	8	2013-01-01T18:00:00Z
2013	1	1	1408	1411	-3	1646	1640	6	FL	349	N895AT	LGA	ATL	133	762	14	11	2013-01-01T19:00:00Z
2013	1	1	1552	1600	-8	1826	1820	6	FL	620	N997AT	LGA	ATL	132	762	16	0	2013-01-01T21:00:00Z
2013	1	1	1730	1730	0	2013	1959	14	FL	623	N967AT	LGA	ATL	128	762	17	30	2013-01-01T22:00:00Z
2013	1	1	1849	1900	-11	2131	2129	2	FL	645	N920AT	LGA	ATL	134	762	19	0	2013-01-02T00:00:00Z
2013	1	1	2020	2030	-10	2148	2155	-7	FL	354	N895AT	LGA	CAK	73	397	20	30	2013-01-02T01:00:00Z
2013	1	2	558	600	-2	838	815	23	FL	345	N896AT	LGA	ATL	129	762	6	0	2013-01-02T11:00:00Z
2013	1	2	729	720	9	846	840	6	FL	850	N982AT	LGA	MKE	113	738	7	20	2013-01-02T12:00:00Z
2013	1	2	825	810	15	1053	1030	23	FL	346	N895AT	LGA	ATL	127	762	8	10	2013-01-02T13:00:00Z
2013	1	2	1020	1023	-3	1242	1252	-10	FL	347	N997AT	LGA	ATL	122	762	10	23	2013-01-02T15:00:00Z
2013	1	2	1147	1155	-8	1318	1327	-9	FL	353	N894AT	LGA	CAK	66	397	11	55	2013-01-02T16:00:00Z
2013	1	2	1306	1308	-2	1535	1537	-2	FL	348	N935AT	LGA	ATL	122	762	13	8	2013-01-02T18:00:00Z
2013	1	2	1405	1411	-6	1634	1640	-6	FL	349	N926AT	LGA	ATL	124	762	14	11	2013-01-02T19:00:00Z
2013	1	2	1558	1600	-2	1846	1820	26	FL	620	N977AT	LGA	ATL	130	762	16	0	2013-01-02T21:00:00Z
2013	1	2	1720	1730	-10	1959	1959	0	FL	623	N936AT	LGA	ATL	130	762	17	30	2013-01-02T22:00:00Z
2013	1	2	1852	1900	-8	2119	2129	-10	FL	645	N971AT	LGA	ATL	129	762	19	0	2013-01-03T00:00:00Z
2013	1	2	2024	2030	-6	2203	2155	8	FL	354	N929AT	LGA	CAK	69	397	20	30	2013-01-03T01:00:00Z
2013	1	3	600	600	0	843	815	28	FL	345	N936AT	LGA	ATL	135	762	6	0	2013-01-03T11:00:00Z
2013	1	3	714	720	-6	848	840	8	FL	850	N938AT	LGA	MKE	123	738	7	20	2013-01-03T12:00:00Z
2013	1	3	805	810	-5	1043	1030	13	FL	346	N954AT	LGA	ATL	134	762	8	10	2013-01-03T13:00:00Z
2013	1	3	1020	1023	-3	1303	1252	11	FL	347	N957AT	LGA	ATL	136	762	10	23	2013-01-03T15:00:00Z
2013	1	3	1151	1155	-4	1327	1327	0	FL	353	N965AT	LGA	CAK	73	397	11	55	2013-01-03T16:00:00Z
2013	1	3	1300	1308	-8	1536	1537	-1	FL	348	N924AT	LGA	ATL	129	762	13	8	2013-01-03T18:00:00Z
2013	1	3	1409	1411	-2	1641	1640	1	FL	349	N954AT	LGA	ATL	131	762	14	11	2013-01-03T19:00:00Z
2013	1	3	1605	1600	5	1904	1820	44	FL	620	N893AT	LGA	ATL	145	762	16	0	2013-01-03T21:00:00Z
2013	1	3	1720	1730	-10	2004	1959	5	FL	623	N929AT	LGA	ATL	136	762	17	30	2013-01-03T22:00:00Z
2013	1	3	1852	1900	-8	2121	2129	-8	FL	645	N928AT	LGA	ATL	127	762	19	0	2013-01-04T00:00:00Z
2013	1	3	2021	2030	-9	2158	2155	3	FL	354	N936AT	LGA	CAK	65	397	20	30	2013-01-04T01:00:00Z
2013	1	4	601	600	1	821	815	6	FL	345	N963AT	LGA	ATL	119	762	6	0	2013-01-04T11:00:00Z
2013	1	4	716	720	-4	855	840	15	FL	850	N982AT	LGA	MKE	112	738	7	20	2013-01-04T12:00:00Z
2013	1	4	810	810	0	1029	1030	-1	FL	346	N899AT	LGA	ATL	115	762	8	10	2013-01-04T13:00:00Z
2013	1	4	1025	1023	2	1252	1252	0	FL	347	N933AT	LGA	ATL	117	762	10	23	2013-01-04T15:00:00Z
2013	1	4	1156	1155	1	1323	1327	-4	FL	353	N915AT	LGA	CAK	66	397	11	55	2013-01-04T16:00:00Z
2013	1	4	1306	1308	-2	1546	1537	9	FL	348	N945AT	LGA	ATL	133	762	13	8	2013-01-04T18:00:00Z
2013	1	4	1405	1411	-6	1631	1640	-9	FL	349	N977AT	LGA	ATL	122	762	14	11	2013-01-04T19:00:00Z
2013	1	4	1557	1600	-3	1831	1820	11	FL	620	N929AT	LGA	ATL	121	762	16	0	2013-01-04T21:00:00Z
2013	1	4	1724	1730	-6	1948	1959	-11	FL	623	N940AT	LGA	ATL	120	762	17	30	2013-01-04T22:00:00Z
2013	1	4	1915	1900	15	2127	2129	-2	FL	645	N951AT	LGA	ATL	111	762	19	0	2013-01-05T00:00:00Z
2013	1	4	2029	2030	-1	2154	2155	-1	FL	354	N977AT	LGA	CAK	61	397	20	30	2013-01-05T01:00:00Z
2013	1	5	555	600	-5	824	810	14	FL	345	N969AT	LGA	ATL	116	762	6	0	2013-01-05T11:00:00Z
2013	1	5	720	720	0	835	842	-7	FL	850	N964AT	LGA	MKE	116	738	7	20	2013-01-05T12:00:00Z
2013	1	5	805	810	-5	1037	1039	-2	FL	346	N977AT	LGA	ATL	120	762	8	10	2013-01-05T13:00:00Z
2013	1	5	1019	1023	-4	1250	1252	-2	FL	347	N987AT	LGA	ATL	122	762	10	23	2013-01-05T15:00:00Z
2013	1	5	1144	1145	-1	1307	1317	-10	FL	353	N948AT	LGA	CAK	67	397	11	45	2013-01-05T16:00:00Z
