year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	600	600	0	837	825	12	MQ	4650	N542MQ	LGA	ATL	134	762	6	0	2013-01-01T11:00:00Z
2013	1	1	602	605	-3	821	805	16	MQ	4401	N730MQ	LGA	DTW	105	502	6	5	2013-01-01T11:00:00Z
2013	1	1	608	600	8	807	735	32	MQ	3768	N9EAMQ	EWR	ORD	139	719	6	0	2013-01-01T11:00:00Z
2013	1	1	624	630	-6	840	830	10	MQ	4599	N518MQ	LGA	MSP	166	1020	6	30	2013-01-01T11:00:00Z
2013	1	1	656	705	-9	1007	940	27	MQ	4534	N722MQ	LGA	XNA	233	1147	7	5	2013-01-01T12:00:00Z
2013	1	1	749	710	39	939	850	49	MQ	3737	N508MQ	EWR	ORD	148	719	7	10	2013-01-01T12:00:00Z
2013	1	1	800	810	-10	949	955	-6	MQ	4406	N828MQ	JFK	RDU	80	427	8	10	2013-01-01T13:00:00Z
2013	1	1	805	815	-10	1006	1010	-4	MQ	4490	N739MQ	LGA	CMH	101	479	8	15	2013-01-01T13:00:00Z
2013	1	1	811	630	101	1047	830	137	MQ	4576	N531MQ	LGA	CLT	118	544	6	30	2013-01-01T11:00:00Z
2013	1	1	821	825	-4	932	945	-13	MQ	4418	N846MQ	JFK	DCA	52	213	8	25	2013-01-01T13:00:00Z
2013	1	1	830	835	-5	1052	1105	-13	MQ	4610	N513MQ	LGA	ATL	123	762	8	35	2013-01-01T13:00:00Z
2013	1	1	832	840	-8	1006	1030	-24	MQ	4521	N725MQ	LGA	RDU	77	431	8	40	2013-01-01T13:00:00Z
2013	1	1	839	850	-11	1027	1035	-8	MQ	4558	N711MQ	LGA	CLE	88	419	8	50	2013-01-01T13:00:00Z
2013	1	1	848	1835	853	1001	1950	851	MQ	3944	N942MQ	JFK	BWI	41	184	18	35	2013-01-01T23:00:00Z
2013	1	1	858	900	-2	1102	1110	-8	MQ	4478	N737MQ	LGA	DTW	103	502	9	0	2013-01-01T14:00:00Z
2013	1	1	903	820	43	1045	955	50	MQ	4655	N532MQ	LGA	BNA	142	764	8	20	2013-01-01T13:00:00Z
2013	1	1	920	920	0	1152	1125	27	MQ	4582	N527MQ	LGA	CLT	92	544	9	20	2013-01-01T14:00:00Z
2013	1	1	940	955	-15	1226	1220	6	MQ	4654	N525MQ	LGA	ATL	129	762	9	55	2013-01-01T14:00:00Z
2013	1	1	953	959	-6	1141	1129	12	MQ	4670	N6EAMQ	LGA	BNA	144	764	9	59	2013-01-01T14:00:00Z
2013	1	1	1007	1010	-3	1147	1140	7	MQ	3795	N503MQ	EWR	ORD	131	719	10	10	2013-01-01T15:00:00Z
2013	1	1	1024	1030	-6	1204	1215	-11	MQ	4471	N719MQ	LGA	RDU	78	431	10	30	2013-01-01T15:00:00Z
2013	1	1	1048	1050	-2	1302	1250	12	MQ	4589	N537MQ	LGA	DTW	112	502	10	50	2013-01-01T15:00:00Z
2013	1	1	1059	1100	-1	1210	1215	-5	MQ	3792	N509MQ	JFK	DCA	50	213	11	0	2013-01-01T16:00:00Z
2013	1	1	1107	1115	-8	1305	1310	-5	MQ	4485	N730MQ	LGA	CMH	95	479	11	15	2013-01-01T16:00:00Z
2013	1	1	1132	1135	-3	1324	1330	-6	MQ	4553	N856MQ	LGA	CLE	89	419	11	35	2013-01-01T16:00:00Z
2013	1	1	1154	1200	-6	1452	1430	22	MQ	4658	N8EGMQ	LGA	ATL	141	762	12	0	2013-01-01T17:00:00Z
2013	1	1	1155	1200	-5	1312	1315	-3	MQ	4425	N846MQ	JFK	DCA	57	213	12	0	2013-01-01T17:00:00Z
2013	1	1	1157	1205	-8	1342	1345	-3	MQ	4431	N723MQ	LGA	RDU	80	431	12	5	2013-01-01T17:00:00Z
2013	1	1	1217	1220	-3	1414	1350	24	MQ	3697	N517MQ	EWR	ORD	143	719	12	20	2013-01-01T17:00:00Z
2013	1	1	1240	1235	5	1415	1415	0	MQ	4404	N828MQ	JFK	RDU	79	427	12	35	2013-01-01T17:00:00Z
2013	1	1	1255	1200	55	1451	1330	81	MQ	4601	N518MQ	LGA	BNA	139	764	12	0	2013-01-01T17:00:00Z
2013	1	1	1257	1300	-3	1454	1450	4	MQ	4426	N739MQ	LGA	CMH	97	479	13	0	2013-01-01T18:00:00Z
2013	1	1	1301	1150	71	1518	1345	93	MQ	4646	N542MQ	LGA	MSP	170	1020	11	50	2013-01-01T16:00:00Z
2013	1	1	1305	1315	-10	1523	1520	3	MQ	4564	N725MQ	LGA	DTW	102	502	13	15	2013-01-01T18:00:00Z
2013	1	1	1317	1325	-8	1454	1505	-11	MQ	4475	N711MQ	LGA	RDU	80	431	13	25	2013-01-01T18:00:00Z
2013	1	1	1356	1350	6	1612	1545	27	MQ	4577	N513MQ	LGA	CLT	98	544	13	50	2013-01-01T18:00:00Z
2013	1	1	1419	1420	-1	1557	1550	7	MQ	3728	N500MQ	EWR	ORD	136	719	14	20	2013-01-01T19:00:00Z
2013	1	1	1422	1410	12	1613	1555	18	MQ	4491	N737MQ	LGA	CLE	93	419	14	10	2013-01-01T19:00:00Z
2013	1	1	1445	1445	0	1729	1710	19	MQ	4669	N532MQ	LGA	ATL	129	762	14	45	2013-01-01T19:00:00Z
2013	1	1	1449	1450	-1	1651	1640	11	MQ	4403	N853MQ	JFK	RDU	78	427	14	50	2013-01-01T19:00:00Z
2013	1	1	1453	1450	3	1707	1645	22	MQ	4172	N610MQ	JFK	CLE	99	425	14	50	2013-01-01T19:00:00Z
2013	1	1	1458	1500	-2	1658	1655	3	MQ	4429	N736MQ	LGA	CMH	94	479	15	0	2013-01-01T20:00:00Z
2013	1	1	1505	1510	-5	1654	1655	-1	MQ	4447	N734MQ	LGA	RDU	82	431	15	10	2013-01-01T20:00:00Z
2013	1	1	1507	1510	-3	1748	1745	3	MQ	4309	N803MQ	JFK	IND	130	665	15	10	2013-01-01T20:00:00Z
2013	1	1	1513	1515	-2	1705	1700	5	MQ	4333	N635MQ	JFK	PIT	79	340	15	15	2013-01-01T20:00:00Z
2013	1	1	1520	1525	-5	1643	1655	-12	MQ	3823	N509MQ	JFK	DCA	57	213	15	25	2013-01-01T20:00:00Z
2013	1	1	1522	1530	-8	1731	1725	6	MQ	4146	N902MQ	JFK	CMH	98	483	15	30	2013-01-01T20:00:00Z
2013	1	1	1525	1530	-5	1934	1805	NA	MQ	4525	N719MQ	LGA	XNA	NA	1147	15	30	2013-01-01T20:00:00Z
2013	1	1	1548	1420	88	1751	1620	91	MQ	4588	N6EAMQ	LGA	MSP	167	1020	14	20	2013-01-01T19:00:00Z
2013	1	1	1554	1600	-6	1830	1820	10	MQ	3985	N606MQ	JFK	CVG	118	589	16	0	2013-01-01T21:00:00Z
2013	1	1	1603	1605	-2	1818	1750	28	MQ	4415	N730MQ	LGA	RDU	79	431	16	5	2013-01-01T21:00:00Z
2013	1	1	1604	1510	54	1817	1710	67	MQ	4579	N0EGMQ	LGA	CLT	106	544	15	10	2013-01-01T20:00:00Z
2013	1	1	1619	1625	-6	1912	1855	17	MQ	4661	N537MQ	LGA	ATL	136	762	16	25	2013-01-01T21:00:00Z
2013	1	1	1632	1635	-3	1824	1810	14	MQ	3695	N507MQ	EWR	ORD	139	719	16	35	2013-01-01T21:00:00Z
2013	1	1	1640	1640	0	1859	1850	9	MQ	4540	N723MQ	LGA	DTW	106	502	16	40	2013-01-01T21:00:00Z
2013	1	1	1658	1700	-2	1808	1840	-32	MQ	4323	N688MQ	JFK	ORF	52	290	17	0	2013-01-01T22:00:00Z
2013	1	1	1719	1720	-1	1908	1905	3	MQ	4479	N713MQ	LGA	RDU	80	431	17	20	2013-01-01T22:00:00Z
2013	1	1	1740	1745	-5	2158	2020	NA	MQ	4413	N739MQ	LGA	XNA	NA	1147	17	45	2013-01-01T22:00:00Z
2013	1	1	1803	1620	103	2008	1750	138	MQ	4622	N504MQ	LGA	BNA	154	764	16	20	2013-01-01T21:00:00Z
2013	1	1	1806	1810	-4	2002	1945	17	MQ	4484	N711MQ	LGA	BNA	152	764	18	10	2013-01-01T23:00:00Z
2013	1	1	1816	1805	11	2013	1955	18	MQ	4626	N8EGMQ	LGA	CMH	93	479	18	5	2013-01-01T23:00:00Z
2013	1	1	1834	1840	-6	2027	2020	7	MQ	3730	N517MQ	EWR	ORD	137	719	18	40	2013-01-01T23:00:00Z
2013	1	1	1840	1845	-5	2055	2030	25	MQ	4517	N725MQ	LGA	CRW	96	444	18	45	2013-01-01T23:00:00Z
2013	1	1	1854	1830	24	2055	2015	40	MQ	4674	N518MQ	LGA	CLE	87	419	18	30	2013-01-01T23:00:00Z
2013	1	1	1911	1910	1	2050	2055	-5	MQ	4569	N737MQ	LGA	RDU	81	431	19	10	2013-01-02T00:00:00Z
2013	1	1	1934	1725	129	2126	1855	151	MQ	4255	N909MQ	JFK	BNA	154	765	17	25	2013-01-01T22:00:00Z
2013	1	1	1942	1705	157	2124	1830	174	MQ	4410	N835MQ	JFK	DCA	60	213	17	5	2013-01-01T22:00:00Z
2013	1	1	2008	1855	73	2223	2100	83	MQ	4649	N527MQ	LGA	MSP	163	1020	18	55	2013-01-01T23:00:00Z
2013	1	1	2008	2015	-7	2206	2210	-4	MQ	4555	N734MQ	LGA	CMH	91	479	20	15	2013-01-02T01:00:00Z
2013	1	1	2016	1940	36	2215	2125	50	MQ	3783	N509MQ	JFK	CMH	99	483	19	40	2013-01-02T00:00:00Z
2013	1	1	2050	1959	51	2229	2144	45	MQ	4423	N853MQ	JFK	RDU	83	427	19	59	2013-01-02T00:00:00Z
2013	1	1	2053	2055	-2	2254	2250	4	MQ	4573	N730MQ	LGA	DTW	102	502	20	55	2013-01-02T01:00:00Z
2013	1	1	2056	2100	-4	2240	2235	5	MQ	4507	N856MQ	LGA	RDU	77	431	21	0	2013-01-02T02:00:00Z
2013	1	1	2057	2100	-3	2237	2220	17	MQ	3744	N521MQ	EWR	ORD	133	719	21	0	2013-01-02T02:00:00Z
2013	1	1	2100	2100	0	2307	2250	17	MQ	4584	N0EGMQ	LGA	CLT	101	544	21	0	2013-01-02T02:00:00Z
2013	1	1	2110	2020	50	2340	2245	55	MQ	4662	N532MQ	LGA	ATL	127	762	20	20	2013-01-02T01:00:00Z
2013	1	1	2122	2125	-3	2312	2250	22	MQ	4660	N1EAMQ	LGA	BNA	153	764	21	25	2013-01-02T02:00:00Z
2013	1	1	2128	2125	3	2243	2240	3	MQ	4449	N810MQ	JFK	DCA	54	213	21	25	2013-01-02T02:00:00Z
2013	1	2	600	605	-5	748	805	-17	MQ	4401	N713MQ	LGA	DTW	82	502	6	5	2013-01-02T11:00:00Z
2013	1	2	622	630	-8	820	830	-10	MQ	4599	N6EAMQ	LGA	MSP	159	1020	6	30	2013-01-02T11:00:00Z
2013	1	2	624	600	24	908	825	43	MQ	4650	N513MQ	LGA	ATL	138	762	6	0	2013-01-02T11:00:00Z
2013	1	2	625	630	-5	833	830	3	MQ	4576	N504MQ	LGA	CLT	106	544	6	30	2013-01-02T11:00:00Z
2013	1	2	656	705	-9	1014	940	34	MQ	4534	N719MQ	LGA	XNA	233	1147	7	5	2013-01-02T12:00:00Z
2013	1	2	705	710	-5	827	850	-23	MQ	3737	N512MQ	EWR	ORD	115	719	7	10	2013-01-02T12:00:00Z
2013	1	2	720	600	80	905	735	90	MQ	3768	N520MQ	EWR	ORD	112	719	6	0	2013-01-02T11:00:00Z
2013	1	2	801	810	-9	951	955	-4	MQ	4406	N837MQ	JFK	RDU	86	427	8	10	2013-01-02T13:00:00Z
2013	1	2	811	820	-9	944	955	-11	MQ	4655	N509MQ	LGA	BNA	131	764	8	20	2013-01-02T13:00:00Z
2013	1	2	815	815	0	1008	1010	-2	MQ	4490	N723MQ	LGA	CMH	90	479	8	15	2013-01-02T13:00:00Z
2013	1	2	815	825	-10	933	945	-12	MQ	4418	N853MQ	JFK	DCA	43	213	8	25	2013-01-02T13:00:00Z
2013	1	2	827	835	-8	1059	1105	-6	MQ	4610	N0EGMQ	LGA	ATL	124	762	8	35	2013-01-02T13:00:00Z
2013	1	2	837	840	-3	1027	1030	-3	MQ	4521	N722MQ	LGA	RDU	83	431	8	40	2013-01-02T13:00:00Z
2013	1	2	841	850	-9	1017	1035	-18	MQ	4558	N730MQ	LGA	CLE	71	419	8	50	2013-01-02T13:00:00Z
2013	1	2	857	900	-3	1041	1110	-29	MQ	4478	N856MQ	LGA	DTW	80	502	9	0	2013-01-02T14:00:00Z
2013	1	2	914	920	-6	1133	1125	8	MQ	4582	N517MQ	LGA	CLT	94	544	9	20	2013-01-02T14:00:00Z
