year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	30	1222	1115	67	1402	1215	107	OO	8500	N978SW	LGA	ORD	132	733	11	15	2013-01-30T16:00:00Z
2013	11	3	1424	1430	-6	1629	1634	-5	OO	4483	N813SK	EWR	MSP	166	1008	14	30	2013-11-03T19:00:00Z
2013	11	10	1443	1430	13	1701	1634	27	OO	4483	N813SK	EWR	MSP	177	1008	14	30	2013-11-10T19:00:00Z
2013	11	17	1422	1430	-8	1610	1634	-24	OO	4483	N693CA	EWR	MSP	152	1008	14	30	2013-11-17T19:00:00Z
2013	11	25	1803	1759	4	2011	2017	-6	OO	4659	N803SK	EWR	MSP	157	1008	17	59	2013-11-25T22:00:00Z
2013	11	30	1648	1647	1	1814	1811	3	OO	4967	N746SK	LGA	IAD	50	229	16	47	2013-11-30T21:00:00Z
2013	6	15	1626	1635	-9	1810	1830	-20	OO	4528	N913EV	EWR	DTW	81	488	16	35	2013-06-15T20:00:00Z
2013	6	22	1846	1635	131	2107	1830	157	OO	4528	N427SW	EWR	DTW	88	488	16	35	2013-06-22T20:00:00Z
2013	8	27	1755	1805	-10	1956	1953	3	OO	5568	N789SK	LGA	CLE	64	419	18	5	2013-08-27T22:00:00Z
2013	8	28	2039	1805	154	2213	1953	140	OO	5568	N790SK	LGA	CLE	71	419	18	5	2013-08-28T22:00:00Z
2013	8	29	1832	1805	27	2039	1953	46	OO	5568	N797SK	LGA	CLE	70	419	18	5	2013-08-29T22:00:00Z
2013	8	30	1930	1805	85	2102	1953	69	OO	5568	N762SK	LGA	CLE	68	419	18	5	2013-08-30T22:00:00Z
2013	9	2	NA	1805	NA	NA	1953	NA	OO	5568	N768SK	LGA	CLE	NA	419	18	5	2013-09-02T22:00:00Z
2013	9	3	1759	1805	-6	1959	1953	6	OO	5568	N795SK	LGA	CLE	66	419	18	5	2013-09-03T22:00:00Z
2013	9	4	1803	1805	-2	1941	1953	-12	OO	5568	N780SK	LGA	CLE	67	419	18	5	2013-09-04T22:00:00Z
2013	9	5	1758	1805	-7	1938	1953	-15	OO	5568	N789SK	LGA	CLE	69	419	18	5	2013-09-05T22:00:00Z
2013	9	6	1803	1805	-2	1945	1953	-8	OO	5568	N740SK	LGA	CLE	70	419	18	5	2013-09-06T22:00:00Z
2013	9	8	1754	1805	-11	1946	1953	-7	OO	5568	N726SK	LGA	CLE	67	419	18	5	2013-09-08T22:00:00Z
2013	9	9	1757	1805	-8	1951	1953	-2	OO	5568	N780SK	LGA	CLE	72	419	18	5	2013-09-09T22:00:00Z
2013	9	10	1759	1805	-6	1945	1953	-8	OO	5568	N705SK	LGA	CLE	68	419	18	5	2013-09-10T22:00:00Z
2013	9	11	NA	1805	NA	NA	1953	NA	OO	5568	N728SK	LGA	CLE	NA	419	18	5	2013-09-11T22:00:00Z
2013	9	12	NA	1805	NA	NA	1953	NA	OO	5568	N789SK	LGA	CLE	NA	419	18	5	2013-09-12T22:00:00Z
2013	9	13	1845	1805	40	2041	1953	48	OO	5568	N702SK	LGA	CLE	68	419	18	5	2013-09-13T22:00:00Z
2013	9	15	1756	1805	-9	1929	1953	-24	OO	5568	N778SK	LGA	CLE	70	419	18	5	2013-09-15T22:00:00Z
2013	9	16	1752	1805	-13	1939	1953	-14	OO	5568	N710SK	LGA	CLE	70	419	18	5	2013-09-16T22:00:00Z
2013	9	17	1755	1805	-10	1937	1953	-16	OO	5568	N794SK	LGA	CLE	68	419	18	5	2013-09-17T22:00:00Z
2013	9	18	1754	1805	-11	1927	1953	-26	OO	5568	N701SK	LGA	CLE	64	419	18	5	2013-09-18T22:00:00Z
2013	9	19	1759	1805	-6	1946	1953	-7	OO	5568	N760SK	LGA	CLE	64	419	18	5	2013-09-19T22:00:00Z
2013	9	20	1758	1805	-7	1929	1953	-24	OO	5568	N766SK	LGA	CLE	60	419	18	5	2013-09-20T22:00:00Z
2013	9	22	1759	1805	-6	1945	1953	-8	OO	5568	N772SK	LGA	CLE	67	419	18	5	2013-09-22T22:00:00Z
2013	9	23	1759	1805	-6	1935	1953	-18	OO	5568	N776SK	LGA	CLE	68	419	18	5	2013-09-23T22:00:00Z
2013	9	24	1751	1805	-14	1937	1953	-16	OO	5568	N785SK	LGA	CLE	67	419	18	5	2013-09-24T22:00:00Z
