year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	622	630	-8	1017	1014	3	US	245	N807AW	EWR	PHX	342	2133	6	30	2013-01-01T11:00:00Z
2013	1	1	627	630	-3	1018	1018	0	US	27	N535UW	JFK	PHX	330	2153	6	30	2013-01-01T11:00:00Z
2013	1	1	629	630	-1	824	833	-9	US	1019	N426US	EWR	CLT	91	529	6	30	2013-01-01T11:00:00Z
2013	1	1	643	645	-2	837	848	-11	US	926	N178US	EWR	CLT	91	529	6	45	2013-01-01T11:00:00Z
2013	1	1	752	759	-7	955	959	-4	US	1733	N543UW	LGA	CLT	96	544	7	59	2013-01-01T12:00:00Z
2013	1	1	811	815	-4	1026	1016	10	US	675	N654AW	EWR	CLT	96	529	8	15	2013-01-01T13:00:00Z
2013	1	1	823	825	-2	1019	1024	-5	US	487	N655AW	JFK	CLT	96	541	8	25	2013-01-01T13:00:00Z
2013	1	1	908	915	-7	1004	1033	-29	US	1467	N959UW	LGA	PHL	32	96	9	15	2013-01-01T14:00:00Z
2013	1	1	955	1000	-5	1336	1325	11	US	75	N642AW	EWR	PHX	324	2133	10	0	2013-01-01T15:00:00Z
2013	1	1	959	1000	-1	1151	1206	-15	US	1177	N765US	LGA	CLT	90	544	10	0	2013-01-01T15:00:00Z
2013	1	1	1003	959	4	1408	1329	39	US	196	N541UW	JFK	PHX	342	2153	9	59	2013-01-01T14:00:00Z
2013	1	1	1010	1015	-5	1204	1210	-6	US	1103	N162UW	EWR	CLT	90	529	10	15	2013-01-01T15:00:00Z
2013	1	1	1010	1015	-5	1225	1214	11	US	1441	N712US	JFK	CLT	97	541	10	15	2013-01-01T15:00:00Z
2013	1	1	1058	1100	-2	1210	1216	-6	US	2171	N951UW	LGA	DCA	50	214	11	0	2013-01-01T16:00:00Z
2013	1	1	1125	1130	-5	1325	1332	-7	US	1085	N169UW	LGA	CLT	94	544	11	30	2013-01-01T16:00:00Z
2013	1	1	1200	1200	0	1408	1356	12	US	1443	N755US	JFK	CLT	102	541	12	0	2013-01-01T17:00:00Z
2013	1	1	1255	1259	-4	1501	1502	-1	US	1459	N540UW	LGA	CLT	100	544	12	59	2013-01-01T17:00:00Z
2013	1	1	1255	1300	-5	1401	1409	-8	US	2128	N957UW	LGA	BOS	38	184	13	0	2013-01-01T18:00:00Z
2013	1	1	1314	1315	-1	1507	1505	2	US	1615	N177US	EWR	CLT	95	529	13	15	2013-01-01T18:00:00Z
2013	1	1	1358	1350	8	1742	1715	27	US	688	N654AW	EWR	PHX	318	2133	13	50	2013-01-01T18:00:00Z
2013	1	1	1448	1445	3	1651	1647	4	US	1445	N560UW	LGA	CLT	96	544	14	45	2013-01-01T19:00:00Z
2013	1	1	1453	1500	-7	1601	1620	-19	US	2179	N951UW	LGA	DCA	51	214	15	0	2013-01-01T20:00:00Z
2013	1	1	1457	1500	-3	1652	1656	-4	US	720	N539UW	EWR	CLT	97	529	15	0	2013-01-01T20:00:00Z
2013	1	1	1529	1530	-1	1733	1737	-4	US	1665	N738US	LGA	CLT	103	544	15	30	2013-01-01T20:00:00Z
2013	1	1	1623	1620	3	2002	1959	3	US	35	N550UW	JFK	PHX	317	2153	16	20	2013-01-01T21:00:00Z
2013	1	1	1631	1635	-4	1956	2000	-4	US	656	N649AW	EWR	PHX	309	2133	16	35	2013-01-01T21:00:00Z
2013	1	1	1705	1710	-5	1924	1915	9	US	1447	N188US	LGA	CLT	110	544	17	10	2013-01-01T22:00:00Z
2013	1	1	1725	1730	-5	1929	1926	3	US	449	N680AW	EWR	CLT	104	529	17	30	2013-01-01T22:00:00Z
2013	1	1	1803	1800	3	2021	2001	20	US	373	N510UW	JFK	CLT	100	541	18	0	2013-01-01T23:00:00Z
2013	1	1	1825	1829	-4	2046	2032	14	US	1973	N460UW	EWR	CLT	106	529	18	29	2013-01-01T23:00:00Z
2013	1	1	1853	1900	-7	2004	2018	-14	US	2187	N951UW	LGA	DCA	54	214	19	0	2013-01-02T00:00:00Z
2013	1	1	1910	1855	15	2118	2103	15	US	1491	N540UW	LGA	CLT	107	544	18	55	2013-01-01T23:00:00Z
2013	1	2	458	500	-2	703	650	13	US	1030	N162UW	EWR	CLT	108	529	5	0	2013-01-02T10:00:00Z
2013	1	2	602	600	2	646	659	-13	US	1833	N951UW	LGA	PHL	28	96	6	0	2013-01-02T11:00:00Z
2013	1	2	617	615	2	837	817	20	US	1567	N745VJ	JFK	CLT	106	541	6	15	2013-01-02T11:00:00Z
2013	1	2	626	630	-4	850	833	17	US	1019	N445US	EWR	CLT	103	529	6	30	2013-01-02T11:00:00Z
2013	1	2	629	630	-1	1010	1014	-4	US	245	N837AW	EWR	PHX	308	2133	6	30	2013-01-02T11:00:00Z
2013	1	2	637	630	7	1012	1018	-6	US	27	N545UW	JFK	PHX	312	2153	6	30	2013-01-02T11:00:00Z
2013	1	2	642	630	12	854	841	13	US	1433	N538UW	LGA	CLT	109	544	6	30	2013-01-02T11:00:00Z
