year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	658	700	-2	1027	1025	2	VX	399	N627VA	JFK	LAX	361	2475	7	0	2013-01-01T12:00:00Z
2013	1	1	729	730	-1	1049	1115	-26	VX	11	N635VA	JFK	SFO	356	2586	7	30	2013-01-01T12:00:00Z
2013	1	1	859	900	-1	1223	1225	-2	VX	407	N846VA	JFK	LAX	359	2475	9	0	2013-01-01T14:00:00Z
2013	1	1	932	930	2	1219	1225	-6	VX	251	N641VA	JFK	LAS	324	2248	9	30	2013-01-01T14:00:00Z
2013	1	1	1031	1030	1	1353	1415	-22	VX	23	N625VA	JFK	SFO	363	2586	10	30	2013-01-01T15:00:00Z
2013	1	1	1133	1130	3	1448	1450	-2	VX	409	N839VA	JFK	LAX	347	2475	11	30	2013-01-01T16:00:00Z
2013	1	1	1203	1200	3	1519	1545	-26	VX	25	N843VA	JFK	SFO	353	2586	12	0	2013-01-01T17:00:00Z
2013	1	1	1327	1330	-3	1638	1655	-17	VX	411	N642VA	JFK	LAX	352	2475	13	30	2013-01-01T18:00:00Z
2013	1	1	1627	1630	-3	1940	2020	-40	VX	27	N847VA	JFK	SFO	354	2586	16	30	2013-01-01T21:00:00Z
2013	1	1	1655	1655	0	2025	2030	-5	VX	413	N626VA	JFK	LAX	362	2475	16	55	2013-01-01T21:00:00Z
2013	1	1	1850	1850	0	2249	2240	9	VX	29	N638VA	JFK	SFO	364	2586	18	50	2013-01-01T23:00:00Z
2013	1	1	1952	2000	-8	2314	2325	-11	VX	415	N640VA	JFK	LAX	349	2475	20	0	2013-01-02T01:00:00Z
2013	1	2	659	700	-1	959	1025	-26	VX	399	N626VA	JFK	LAX	330	2475	7	0	2013-01-02T12:00:00Z
2013	1	2	724	730	-6	1039	1115	-36	VX	11	N847VA	JFK	SFO	344	2586	7	30	2013-01-02T12:00:00Z
2013	1	2	903	900	3	1218	1225	-7	VX	407	N624VA	JFK	LAX	338	2475	9	0	2013-01-02T14:00:00Z
2013	1	2	926	930	-4	1209	1225	-16	VX	251	N838VA	JFK	LAS	308	2248	9	30	2013-01-02T14:00:00Z
2013	1	2	1028	1030	-2	1345	1415	-30	VX	23	N855VA	JFK	SFO	357	2586	10	30	2013-01-02T15:00:00Z
2013	1	2	1131	1130	1	1436	1450	-14	VX	409	N627VA	JFK	LAX	341	2475	11	30	2013-01-02T16:00:00Z
2013	1	2	1201	1200	1	1504	1545	-41	VX	25	N846VA	JFK	SFO	338	2586	12	0	2013-01-02T17:00:00Z
2013	1	2	1326	1330	-4	1650	1655	-5	VX	411	N635VA	JFK	LAX	361	2475	13	30	2013-01-02T18:00:00Z
2013	1	2	1628	1630	-2	1950	2020	-30	VX	27	N836VA	JFK	SFO	346	2586	16	30	2013-01-02T21:00:00Z
2013	1	2	1655	1655	0	1955	2030	-35	VX	413	N841VA	JFK	LAX	330	2475	16	55	2013-01-02T21:00:00Z
2013	1	2	1849	1850	-1	2229	2240	-11	VX	29	N628VA	JFK	SFO	353	2586	18	50	2013-01-02T23:00:00Z
2013	1	2	1958	2000	-2	2303	2325	-22	VX	415	N622VA	JFK	LAX	335	2475	20	0	2013-01-03T01:00:00Z
2013	1	3	658	700	-2	938	1025	-47	VX	399	N638VA	JFK	LAX	316	2475	7	0	2013-01-03T12:00:00Z
