year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	1	629	630	-1	721	740	-19	WN	4646	N273WN	LGA	BWI	40	185	6	30	2013-01-01T11:00:00Z
2013	1	1	754	755	-1	1103	1030	33	WN	733	N789SW	LGA	DEN	279	1620	7	55	2013-01-01T12:00:00Z
2013	1	1	852	855	-3	1046	1020	26	WN	3848	N777QC	EWR	MDW	146	711	8	55	2013-01-01T13:00:00Z
2013	1	1	929	925	4	1220	1150	30	WN	766	N957WN	EWR	DEN	264	1605	9	25	2013-01-01T14:00:00Z
2013	1	1	933	935	-2	1120	1105	15	WN	3895	N487WN	LGA	MDW	145	725	9	35	2013-01-01T14:00:00Z
2013	1	1	937	940	-3	1127	1120	7	WN	1807	N729SW	LGA	MKE	143	738	9	40	2013-01-01T14:00:00Z
2013	1	1	1059	1100	-1	1201	1215	-14	WN	321	N505SW	LGA	BWI	43	185	11	0	2013-01-01T16:00:00Z
2013	1	1	1120	1125	-5	1330	1325	5	WN	1057	N469WN	LGA	STL	176	888	11	25	2013-01-01T16:00:00Z
2013	1	1	1158	1200	-2	1256	1300	-4	WN	1568	N783SW	EWR	BWI	38	169	12	0	2013-01-01T17:00:00Z
2013	1	1	1220	1220	0	1403	1340	23	WN	133	N254WN	EWR	MDW	142	711	12	20	2013-01-01T17:00:00Z
2013	1	1	1238	1240	-2	1410	1405	5	WN	564	N297WN	LGA	MKE	137	738	12	40	2013-01-01T17:00:00Z
2013	1	1	1255	1255	0	1540	1535	5	WN	1251	N732SW	LGA	DEN	264	1620	12	55	2013-01-01T17:00:00Z
2013	1	1	1306	1300	6	1622	1610	12	WN	2596	N773SA	EWR	HOU	239	1411	13	0	2013-01-01T18:00:00Z
2013	1	1	1346	1330	16	1736	1710	26	WN	2335	N900WN	EWR	PHX	334	2133	13	30	2013-01-01T18:00:00Z
2013	1	1	1355	1350	5	1537	1515	22	WN	2162	N7704B	LGA	MDW	141	725	13	50	2013-01-01T18:00:00Z
2013	1	1	1526	1530	-4	1714	1650	24	WN	4105	N280WN	EWR	MDW	141	711	15	30	2013-01-01T20:00:00Z
2013	1	1	1536	1520	16	1709	1650	19	WN	2081	N226WN	LGA	MKE	133	738	15	20	2013-01-01T20:00:00Z
