year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour
2013	1	3	1428	1435	-7	1539	1559	-20	YV	3750	N509MJ	LGA	IAD	47	229	14	35	2013-01-03T19:00:00Z
2013	1	3	1551	1602	-11	1659	1722	-23	YV	3771	N508MJ	LGA	IAD	47	229	16	2	2013-01-03T21:00:00Z
2013	1	4	1430	1435	-5	1546	1559	-13	YV	3750	N511MJ	LGA	IAD	55	229	14	35	2013-01-04T19:00:00Z
2013	1	4	1731	1602	89	1837	1722	75	YV	3771	N513MJ	LGA	IAD	46	229	16	2	2013-01-04T21:00:00Z
2013	1	6	1557	1605	-8	1714	1729	-15	YV	3771	N511MJ	LGA	IAD	46	229	16	5	2013-01-06T21:00:00Z
2013	1	7	1430	1435	-5	1541	1559	-18	YV	3750	N507MJ	LGA	IAD	49	229	14	35	2013-01-07T19:00:00Z
2013	1	7	1556	1602	-6	1721	1722	-1	YV	3771	N509MJ	LGA	IAD	44	229	16	2	2013-01-07T21:00:00Z
2013	1	8	1432	1435	-3	1537	1559	-22	YV	3750	N513MJ	LGA	IAD	48	229	14	35	2013-01-08T19:00:00Z
2013	1	8	1555	1602	-7	1727	1722	5	YV	3771	N506MJ	LGA	IAD	43	229	16	2	2013-01-08T21:00:00Z
2013	1	9	1432	1435	-3	1543	1559	-16	YV	3750	N505MJ	LGA	IAD	48	229	14	35	2013-01-09T19:00:00Z
2013	1	9	1554	1602	-8	1709	1722	-13	YV	3771	N503MJ	LGA	IAD	53	229	16	2	2013-01-09T21:00:00Z
2013	1	10	1427	1435	-8	1546	1559	-13	YV	3750	N515MJ	LGA	IAD	49	229	14	35	2013-01-10T19:00:00Z
2013	1	10	1617	1602	15	1748	1722	26	YV	3771	N505MJ	LGA	IAD	46	229	16	2	2013-01-10T21:00:00Z
2013	1	11	1557	1602	-5	1717	1722	-5	YV	3771	N521LR	LGA	IAD	47	229	16	2	2013-01-11T21:00:00Z
2013	1	11	NA	1435	NA	NA	1559	NA	YV	3750	N518LR	LGA	IAD	NA	229	14	35	2013-01-11T19:00:00Z
2013	1	13	NA	1605	NA	NA	1729	NA	YV	3771	N502MJ	LGA	IAD	NA	229	16	5	2013-01-13T21:00:00Z
2013	1	14	1436	1435	1	1600	1559	1	YV	3750	N521LR	LGA	IAD	41	229	14	35	2013-01-14T19:00:00Z
2013	1	14	1649	1602	47	1813	1722	51	YV	3771	N518LR	LGA	IAD	53	229	16	2	2013-01-14T21:00:00Z
2013	1	15	1431	1435	-4	1541	1559	-18	YV	3750	N503MJ	LGA	IAD	57	229	14	35	2013-01-15T19:00:00Z
2013	1	15	1552	1602	-10	1733	1722	11	YV	3771	N511MJ	LGA	IAD	55	229	16	2	2013-01-15T21:00:00Z
2013	1	16	1435	1435	0	1613	1559	14	YV	3750	N521LR	LGA	IAD	62	229	14	35	2013-01-16T19:00:00Z
2013	1	16	1639	1602	37	1808	1722	46	YV	3771	N506MJ	LGA	IAD	53	229	16	2	2013-01-16T21:00:00Z
